date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:00:33	96209/96209	---M--	200	added ('OK')	image/jpeg	date:Tue,%2016%20Sep%202025%2012:24:54%20GMT	https://kfcindia.in/img/slider-1.jpg	C:/My%20Web%20Sites/kfcindia/kfcindia.in/img/slider-1.jpg	(from https://kfcindia.in/)
12:00:33	132198/132198	---M--	200	added ('OK')	image/jpeg	date:Tue,%2016%20Sep%202025%2012:24:54%20GMT	https://kfcindia.in/img/New_banner_popup_desk_1.jpg	C:/My%20Web%20Sites/kfcindia/kfcindia.in/img/New_banner_popup_desk_1.jpg	(from https://kfcindia.in/)
12:00:34	259963/259963	---M--	200	added ('OK')	image/jpeg	date:Tue,%2016%20Sep%202025%2012:24:54%20GMT	https://kfcindia.in/img/haldirams-banner-900x506.jpg	C:/My%20Web%20Sites/kfcindia/kfcindia.in/img/haldirams-banner-900x506.jpg	(from https://kfcindia.in/)
12:00:34	236562/236562	---M--	200	added ('OK')	image/png	date:Tue,%2016%20Sep%202025%2012:24:54%20GMT	https://kfcindia.in/img/about/kfc-bucket.png	C:/My%20Web%20Sites/kfcindia/kfcindia.in/img/about/kfc-bucket.png	(from https://kfcindia.in/)
12:00:34	19905/19905	---M-Z	200	added ('OK')	text/html	date:Tue,%2016%20Sep%202025%2012:24:54%20GMT	https://kfcindia.in/index.html	C:/My%20Web%20Sites/kfcindia/kfcindia.in/index-4.html	(from https://kfcindia.in/)
12:00:34	73329/73329	---M--	200	added ('OK')	image/jpeg	date:Tue,%2016%20Sep%202025%2012:24:55%20GMT	https://kfcindia.in/img/gallery/g1.jpg	C:/My%20Web%20Sites/kfcindia/kfcindia.in/img/gallery/g1.jpg	(from https://kfcindia.in/)
12:00:34	28079/28079	---M--	200	added ('OK')	image/jpeg	date:Tue,%2016%20Sep%202025%2012:24:55%20GMT	https://kfcindia.in/img/gallery/g2.jpg	C:/My%20Web%20Sites/kfcindia/kfcindia.in/img/gallery/g2.jpg	(from https://kfcindia.in/)
12:00:35	72855/72855	---M--	200	added ('OK')	image/jpeg	date:Tue,%2016%20Sep%202025%2012:24:55%20GMT	https://kfcindia.in/img/gallery/g3.jpg	C:/My%20Web%20Sites/kfcindia/kfcindia.in/img/gallery/g3.jpg	(from https://kfcindia.in/)
12:00:35	68014/68014	---M--	200	added ('OK')	image/jpeg	date:Tue,%2016%20Sep%202025%2012:24:55%20GMT	https://kfcindia.in/img/gallery/g4.jpg	C:/My%20Web%20Sites/kfcindia/kfcindia.in/img/gallery/g4.jpg	(from https://kfcindia.in/)
12:00:35	26707/26707	---M--	200	added ('OK')	image/jpeg	date:Tue,%2016%20Sep%202025%2012:24:55%20GMT	https://kfcindia.in/img/gallery/g5.jpg	C:/My%20Web%20Sites/kfcindia/kfcindia.in/img/gallery/g5.jpg	(from https://kfcindia.in/)
12:00:35	64178/64178	---M--	200	added ('OK')	image/jpeg	date:Tue,%2016%20Sep%202025%2012:24:54%20GMT	https://kfcindia.in/img/EuroContaCons-Poza-2-Despre-noi.jpg	C:/My%20Web%20Sites/kfcindia/kfcindia.in/img/EuroContaCons-Poza-2-Despre-noi.jpg	(from https://kfcindia.in/)
12:00:36	82322/82322	---M--	200	added ('OK')	image/png	date:Tue,%2016%20Sep%202025%2012:24:54%20GMT	https://kfcindia.in/img/about/abouts.png	C:/My%20Web%20Sites/kfcindia/kfcindia.in/img/about/abouts.png	(from https://kfcindia.in/)
12:00:36	29261/29261	---M--	200	added ('OK')	image/png	date:Tue,%2016%20Sep%202025%2012:24:54%20GMT	https://kfcindia.in/img/footer-logo-1.png	C:/My%20Web%20Sites/kfcindia/kfcindia.in/img/footer-logo-1.png	(from https://kfcindia.in/)
12:00:36	9411/9411	---M--	200	added ('OK')	image/png	date:Tue,%2016%20Sep%202025%2012:24:54%20GMT	https://kfcindia.in/img/payment-card.png	C:/My%20Web%20Sites/kfcindia/kfcindia.in/img/payment-card.png	(from https://kfcindia.in/)
12:00:36	1239/1239	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2016%20Sep%202025%2012:24:53%20GMT	https://kfcindia.in/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/My%20Web%20Sites/kfcindia/kfcindia.in/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://kfcindia.in/)
12:00:36	22408/22408	---M-Z	200	added ('OK')	text/html	date:Tue,%2016%20Sep%202025%2012:24:54%20GMT	https://kfcindia.in/termsconditions.html	C:/My%20Web%20Sites/kfcindia/kfcindia.in/termsconditions.html	(from https://kfcindia.in/)
12:00:37	86927/86927	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2016%20Sep%202025%2012:24:54%20GMT	https://kfcindia.in/js/jquery-3.3.1.min.js	C:/My%20Web%20Sites/kfcindia/kfcindia.in/js/jquery-3.3.1.min.js	(from https://kfcindia.in/)
12:00:37	21007/21007	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2016%20Sep%202025%2012:24:54%20GMT	https://kfcindia.in/js/popper.min.js	C:/My%20Web%20Sites/kfcindia/kfcindia.in/js/popper.min.js	(from https://kfcindia.in/)
12:00:37	58080/58080	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2016%20Sep%202025%2012:24:54%20GMT	https://kfcindia.in/js/bootstrap.min.js	C:/My%20Web%20Sites/kfcindia/kfcindia.in/js/bootstrap.min.js	(from https://kfcindia.in/)
12:00:37	107532/107532	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2016%20Sep%202025%2012:24:54%20GMT	https://kfcindia.in/vendors/revolution/js/jquery.themepunch.tools.min.js	C:/My%20Web%20Sites/kfcindia/kfcindia.in/vendors/revolution/js/jquery.themepunch.tools.min.js	(from https://kfcindia.in/)
12:00:38	62691/62691	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2016%20Sep%202025%2012:24:54%20GMT	https://kfcindia.in/vendors/revolution/js/jquery.themepunch.revolution.min.js	C:/My%20Web%20Sites/kfcindia/kfcindia.in/vendors/revolution/js/jquery.themepunch.revolution.min.js	(from https://kfcindia.in/)
12:00:38	8901/8901	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2016%20Sep%202025%2012:24:54%20GMT	https://kfcindia.in/vendors/revolution/js/extensions/revolution.extension.actions.min.js	C:/My%20Web%20Sites/kfcindia/kfcindia.in/vendors/revolution/js/extensions/revolution.extension.actions.min.js	(from https://kfcindia.in/)
12:00:38	23866/23866	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2016%20Sep%202025%2012:24:54%20GMT	https://kfcindia.in/vendors/revolution/js/extensions/revolution.extension.video.min.js	C:/My%20Web%20Sites/kfcindia/kfcindia.in/vendors/revolution/js/extensions/revolution.extension.video.min.js	(from https://kfcindia.in/)
12:00:38	28418/28418	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2016%20Sep%202025%2012:24:54%20GMT	https://kfcindia.in/vendors/revolution/js/extensions/revolution.extension.slideanims.min.js	C:/My%20Web%20Sites/kfcindia/kfcindia.in/vendors/revolution/js/extensions/revolution.extension.slideanims.min.js	(from https://kfcindia.in/)
12:00:39	50176/50176	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2016%20Sep%202025%2012:24:54%20GMT	https://kfcindia.in/vendors/revolution/js/extensions/revolution.extension.layeranimation.min.js	C:/My%20Web%20Sites/kfcindia/kfcindia.in/vendors/revolution/js/extensions/revolution.extension.layeranimation.min.js	(from https://kfcindia.in/)
12:00:39	26071/26071	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2016%20Sep%202025%2012:24:54%20GMT	https://kfcindia.in/vendors/revolution/js/extensions/revolution.extension.navigation.min.js	C:/My%20Web%20Sites/kfcindia/kfcindia.in/vendors/revolution/js/extensions/revolution.extension.navigation.min.js	(from https://kfcindia.in/)
12:00:39	44348/44348	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2016%20Sep%202025%2012:24:53%20GMT	https://kfcindia.in/vendors/owl-carousel/owl.carousel.min.js	C:/My%20Web%20Sites/kfcindia/kfcindia.in/vendors/owl-carousel/owl.carousel.min.js	(from https://kfcindia.in/)
12:00:40	326657/326657	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2016%20Sep%202025%2012:24:53%20GMT	https://kfcindia.in/vendors/time-date-picker/moment-with-locales.min.js	C:/My%20Web%20Sites/kfcindia/kfcindia.in/vendors/time-date-picker/moment-with-locales.min.js	(from https://kfcindia.in/)
12:00:41	55801/55801	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2016%20Sep%202025%2012:24:53%20GMT	https://kfcindia.in/vendors/time-date-picker/tempusdominus-bootstrap-4.min.js	C:/My%20Web%20Sites/kfcindia/kfcindia.in/vendors/time-date-picker/tempusdominus-bootstrap-4.min.js	(from https://kfcindia.in/)
12:00:41	5530/5530	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2016%20Sep%202025%2012:24:53%20GMT	https://kfcindia.in/vendors/lightbox/simpleLightbox.min.js	C:/My%20Web%20Sites/kfcindia/kfcindia.in/vendors/lightbox/simpleLightbox.min.js	(from https://kfcindia.in/)
